Uin,gender,age,device,has_interest_online,interestss_TVShows,interests_Travel,interests_Society,interests_Pets,interests_Natural,interests_Cars,interests_Foods,interests_Music,interests_Digital,interests_Life,interests_Sports,interests_Reading,interests_Childproducts,interests_Fashion,interests_Tech,interests_Entertainment,interests_Health,interests_Cartoon,interests_Finance,interests_Realestate,interests_Videogames,interests_Art,Group
43126035d1db708f4f50fb2ed81c4e42,1,29,1,0,0.0,3.661013432,6.9494583070000004,0.0,0.0,1.020440245,6.351664371,1.563448147,0.0,3.776655209,0.0,0.0,0.0,0.0,0.8742725640000001,0.0,7.647091753,0.0,0.552941306,0.0,45.92902938,0.0,1
8884431afadee6430985a41897e8aa63,2,60,2,1,0.0,0.0,21.20948142,0.0,0.0,0.0,61.91950021,1.841160711,0.0,13.79065322,0.0,3.986543696,229.6148535,0.0,0.0,1.8840079269999999,115.57249209999999,0.0,4.278487861,0.0,0.0,0.0,0
b3b6bbcb8b9a76030ecfe9320413f2d0,1,47,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1042a5a5eabdfb224d704c69a9813a95,2,24,2,1,10.70674063,0.0,14.23210253,2.607291014,0.0,0.0,0.0,0.0,0.0,11.2716462,0.0,0.0,0.0,44.1495664,5.058760377,0.0,50.10877605,0.0,12.29788545,0.0,0.0,0.0,2
a7de4b4ca3f366d0354b8bf1e150fc13,2,51,2,0,0.0,0.0,12.470839300000002,0.0,0.0,0.0,2.213232209,3.669659867,0.0,6.567413105,0.0,4.324146959,0.0,0.0,0.0,0.0,2.9704210719999997,0.0,0.516940511,0.0,0.0,0.0,1
afabca6735e6c3c6ea075d4c82c8d82b,2,44,2,1,0.0,0.0,11.46674962,0.0,0.0,0.0,30.34214782,0.0,0.0,13.29589686,0.0,1.751509351,3.6126685139999997,30.21259079,0.0,0.0,26.18644439,0.0,2.02147008,0.0,0.0,0.0,1
a477b70cb828407e3933fab47cfe84fa,1,50,2,0,0.0,3.279895237,13.81897426,0.0,0.0,0.0,0.0,2.601227796,0.0,5.610275103999999,0.8344678959999999,0.376092731,0.0,0.0,2.476700342,0.0,4.241298685,0.0,0.0,0.0,0.0,0.37216434299999995,1
78308f433138f2fe8b9570ffe9fc929,2,60,2,1,0.0,0.0,10.12063723,0.0,0.0,0.0,5.280935576,0.0,0.0,2.9854255000000003,0.0,66.98523634,0.0,0.0,0.0,13.06758078,75.20062544,0.0,0.0,0.0,0.0,0.0,2
a1808ecf4545e1c48415424d42842742,1,66,2,1,0.0,0.0,1167.824558,0.0,0.0,0.0,0.0,0.0,0.0,224.71453959999997,0.0,1340.431166,0.0,0.0,0.0,0.0,62.39801399,0.0,0.0,0.0,0.0,4.598582759,0
c1c497ffde74bccca8de771e2f90f9,1,54,2,0,0.0,6.860135296,25.96279844,0.0,1.8161850240000001,0.0,0.0,37.47935035,0.0,7.94585096,0.0,195.3638134,0.0,0.0,6.690905366,0.0,38.59417046,0.0,0.0,0.0,0.0,0.0,1
395fb42d26747703969ab23f0018cf85,1,76,2,1,2.809582243,6.55691707,176.4305414,0.0,0.0,0.0,0.0,39.14113994,0.0,28.65672292,0.0,111.3630618,0.0,0.0,0.0,0.0,65.59994735,0.0,0.0,0.0,0.0,4.038039458,0
ca2783a306949075dae6a42a2ef85bcd,1,63,2,1,0.0,0.0,602.9575341,0.0,0.0,0.0,0.0,0.0,70.57048952,49.96020154,0.0,197.30340680000003,0.0,0.0,371.82698430000005,0.0,301.9047966,0.0,0.0,0.0,0.0,0.0,2
cbddc68c670eb99ad3bc86f6173f6a27,1,27,1,0,0.0,0.0,89.56347582,0.0,0.0,0.0,0.0,3.600566127,0.0,12.52848672,0.0,1.297869132,0.0,0.0,0.562581205,0.0,9.411762304,0.0,0.0,0.0,0.0,0.0,0
9c5aa9eeb61596afefdf6242c3621008,2,48,2,0,0.0,3.193205341,2.981142505,0.0,0.0,0.0,0.0,2.010357905,0.0,1.442118286,0.0,2.0494289009999997,0.0,1.765876814,0.0,0.0,6.686183429,0.0,0.386840555,0.0,0.0,0.0,1
621cde8ebc0e550876bf02efa1204929,1,49,2,1,0.0,0.0,5.4556817,0.0,0.0,1.74008843,0.0,9.205057282,0.0,22.06048752,0.0,39.2437081,0.0,0.0,0.0,0.0,12.66432973,0.0,0.0,0.0,0.824762665,1.446545077,2
26eabf94da1e1e530f8834c959dae478,1,49,1,1,0.0,0.0,1848.860343,0.0,0.0,0.0,68.75704436,0.0,0.0,0.0,0.0,1416.2846240000001,0.0,0.0,63.74782355,0.0,108.40918300000001,0.0,0.0,71.64816136,0.0,453.63800310000005,1
c0f8c4248de1ee741c495002c4904a44,1,50,2,1,0.0,0.0,222.3208935,0.0,0.0,85.03436191,0.0,0.0,0.0,84.75587035,0.0,0.0,0.0,0.0,1.943872952,0.0,36.93885249,0.0,0.0,0.0,0.0,0.0,1
9658a314bbe2434f8d32077839b7b12c,1,56,2,1,0.0,0.0,2427.597948,0.0,0.0,0.0,111.2412998,0.0,0.0,237.74937290000003,0.0,50.19793193,0.0,0.0,25.9038142,0.0,22.34778215,0.0,47.28905852,12.38031503,0.0,0.0,0
5cf29493e6e5fc2991eb6c6b3a783795,1,64,2,0,0.0,0.0,2.118641134,0.0,0.0,0.0,0.0,0.782369885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
12432e1e6229626399eb874fe4c98c18,1,28,2,1,0.0,0.0,8.258574692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.096242292,0.0,0.0,0.0,0.0,0.0,1
d250cd5dee8847f3912fbfd9dd9555a5,1,49,2,1,0.0,0.0,119.9177348,0.0,0.0,0.0,5.979821303,3.5696259180000003,10.50572327,73.93287148,52.00138347,0.0,0.0,0.0,12.22191975,0.0,64.94972007,0.0,3.4955334689999997,0.0,0.0,0.0,0
578395248d30f703bdf2fb1878519a55,2,62,2,0,0.0,0.0,465.59790580000004,0.0,0.0,0.0,57.67360531,42.422414399999994,0.0,268.2193551,0.0,309.0874705,0.0,39.76826698,0.0,466.38613389999995,1344.9481859999999,0.0,0.0,0.0,0.0,22.41351633,0
